Date,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car,rad(m)
2020-07-26,24.8,28.9,26.0,71.0,0.0,10.5,5.0,130.0,4.0,SE,-0.0762451388888885
2020-07-28,25.8,28.9,26.6,81.0,0.0,10.0,6.0,130.0,4.0,SE,-0.1059541666666663
2020-07-29,24.0,28.6,26.7,64.0,9.5,7.0,120.0,4.0,3.1337480559875583,,-0.1613736111111107
2020-07-30,24.2,28.6,27.3,80.0,0.0,10.2,6.0,130.0,4.0,SE,-0.2044159722222218
2020-07-31,25.0,29.8,26.3,75.0,8888.0,9.1,7.0,120.0,4.0,SE,-0.2256798352872046
2020-08-01,23.5,28.6,26.2,72.0,0.3,10.5,6.0,130.0,4.0,SE,-0.2209590277777781
2020-08-02,21.3,28.8,24.2,78.0,0.0,9.3,5.0,120.0,2.0,SE,-0.2049687500000003
2020-08-03,21.4,29.2,24.8,82.0,0.0,10.2,4.0,120.0,3.0,SE,-0.1890000000000003
2020-08-04,22.4,28.0,25.8,78.0,6.5,8.0,100.0,4.0,3.1337480559875583,,-0.1465284722222225
2020-08-05,24.9,28.5,25.8,82.0,0.0,4.7,6.0,120.0,4.0,SE,-0.1560006944444447
2020-08-06,24.1,28.5,25.7,77.0,8888.0,4.8,5.0,120.0,4.0,E ,-0.1210694444444447
2020-08-08,24.8,28.4,25.8,83.0,0.0,7.9,7.0,110.0,4.0,SE,-0.1004555555555558
2020-08-09,23.2,29.2,25.7,84.0,0.0,9.8,5.0,120.0,3.0,SE,-0.1271930555555558
2020-08-10,23.3,30.4,26.0,88.0,10.2,5.0,110.0,2.0,3.1337480559875583,,-0.1094520833333336
2020-08-11,23.5,30.1,27.2,84.0,0.0,9.0,5.0,140.0,3.0,SE,-0.0692770833333336
2020-08-12,25.4,30.4,27.0,86.0,7.7,5.0,130.0,4.0,3.1337480559875583,,-0.0175145833333336
2020-08-13,25.5,30.1,27.2,83.0,0.0,7.6,5.0,110.0,4.0,E ,-0.0135381944444447
2020-08-14,25.2,27.5,27.7,81.0,6.5,5.0,90.0,4.0,3.1337480559875583,,0.0248548611111107
2020-08-15,25.6,30.0,27.4,82.0,0.0,9.4,7.0,140.0,4.0,SE,0.0033903949804208
2020-08-16,25.8,29.8,27.0,79.0,0.0,10.1,7.0,130.0,4.0,SE,-0.0401494944019529
2020-08-17,25.8,29.5,27.0,82.0,0.0,10.5,6.0,140.0,4.0,SE,-0.0572520833333336
2020-08-18,25.8,29.8,26.8,83.0,0.0,10.4,7.0,130.0,4.0,SE,-0.0793888888888892
2020-08-19,25.0,29.2,26.9,75.0,9.1,6.0,140.0,5.0,3.1337480559875583,,-0.0924013888888892
2020-08-20,25.3,29.2,26.7,79.0,0.0,10.3,6.0,130.0,4.0,SE,-0.0666145833333336
2020-08-21,25.4,29.5,26.9,80.0,0.0,9.5,6.0,120.0,4.0,SE,-0.0680617751037072
2020-08-22,23.0,29.4,25.5,84.0,0.0,10.8,6.0,120.0,4.0,SE,-0.0716006944444447
2020-08-23,23.0,29.5,26.9,80.0,0.0,10.9,6.0,130.0,3.0,SE,0.0091097222222218
2020-08-24,25.2,26.8,27.7,81.0,10.9,6.0,130.0,3.0,3.1337480559875583,,-0.0115854166666669
2020-08-25,25.6,29.8,27.0,80.0,9.5,6.0,130.0,4.0,3.1337480559875583,,-0.0049243055555558
2020-08-26,25.8,29.4,26.9,78.0,0.0,10.4,6.0,130.0,5.0,SE,-0.0507812500000003
2020-08-27,25.6,29.7,26.9,79.0,10.1,6.0,130.0,4.0,3.1337480559875583,,-0.0740111111111114
2020-08-28,25.6,30.1,27.3,79.0,0.0,10.0,6.0,120.0,5.0,SE,-0.0386416666666669
2020-08-29,26.2,29.6,27.3,75.0,8888.0,10.7,7.0,110.0,5.0,SE,-0.0437437500000003
2020-08-30,25.5,29.5,27.0,76.0,0.0,10.1,6.0,140.0,5.0,SE,-0.0527746804678009
2020-08-31,25.2,27.3,27.7,81.0,7.0,130.0,4.0,,3.1337480559875583,,-0.0817410056963493
2020-09-01,25.6,30.2,27.4,79.0,0.0,8.7,5.0,120.0,3.0,SE,-0.0393041666666665
2020-09-02,25.6,30.5,27.6,82.0,8888.0,9.5,6.0,130.0,4.0,SE,-0.0522631944444443
2020-09-03,25.6,30.6,27.7,82.0,0.0,7.3,7.0,130.0,4.0,SE,-0.0107770833333331
2020-09-04,25.3,30.2,27.3,80.0,0.0,9.5,5.0,120.0,4.0,SE,-0.0242071196475048
2020-09-05,25.6,30.6,27.3,77.0,0.0,10.4,5.0,140.0,2.0,SE,-0.0095420156095249
2020-09-06,25.3,30.6,27.5,79.0,8888.0,9.1,4.0,120.0,3.0,SE,-0.0043324845750188
2020-09-07,25.5,30.3,27.3,80.0,0.0,8.9,6.0,120.0,4.0,SE,-0.0378381944444443
2020-09-08,25.8,31.0,27.4,78.0,0.0,10.1,5.0,130.0,4.0,SE,-0.0202645833333331
2020-09-09,26.2,30.2,27.3,78.0,0.0,10.1,5.0,120.0,4.0,SE,-0.0166187499999998
2020-09-10,25.6,30.2,27.5,76.0,0.0,9.1,6.0,130.0,4.0,SE,-0.0343090277777776
2020-09-11,26.1,30.4,27.6,76.0,0.0,10.9,5.0,120.0,4.0,SE,-0.0092629411773106
2020-09-12,26.0,30.7,27.6,76.0,0.0,11.0,5.0,100.0,4.0,SE,-0.0636208333333331
