Date,Time (UTC),rad(m)
2020-12-22,2020-12-22 09:04:25.068493056,0.049710045662100494
2020-12-23,2020-12-23 08:19:25.354838784,-0.005768817204301024
2020-12-24,2020-12-24 08:55:30.000000000,0.002891136801541447
2020-12-25,2020-12-25 09:33:40.106666752,-0.020356444444444424
2020-12-26,2020-12-26 09:38:45.000000000,0.026644965277777804
2020-12-27,2020-12-27 10:23:00.000000000,-0.047217321571772226
2020-12-28,2020-12-28 09:38:20.232558080,0.1466666666666667
2020-12-29,2020-12-29 10:13:07.142857216,0.13223544973544976
2020-12-30,2020-12-30 07:07:35.147453184,0.060485254691689055
2020-12-31,2020-12-31 08:07:30.503919360,0.1170839865621501
