Date,Time (UTC),rad(m)
2020-07-17,2020-07-17 11:59:30.000000000,-0.061695833333333686
2020-07-18,2020-07-18 11:54:57.473684224,-0.0333877755500614
2020-07-19,2020-07-19 11:59:30.000000000,-0.059090972222222586
2020-07-20,2020-07-20 11:58:05.644599296,-0.054910936157686066
2020-07-21,2020-07-21 11:59:30.000000000,-0.05212847222222258
2020-07-22,2020-07-22 11:59:30.000000000,-0.030043055555555916
2020-07-23,2020-07-23 11:59:30.000000000,-0.019437500000000354
2020-07-24,2020-07-24 11:59:30.000000000,-0.031177083333333695
2020-07-25,2020-07-25 11:59:30.000000000,-0.03469513888888924
2020-07-26,2020-07-26 11:59:30.000000000,-0.12624513888888925
2020-07-27,2020-07-27 11:59:30.000000000,-0.13668263888888924
2020-07-28,2020-07-28 11:59:30.000000000,-0.15595416666666703
2020-07-29,2020-07-29 11:59:30.000000000,-0.21137361111111147
2020-07-30,2020-07-30 11:59:30.000000000,-0.25441597222222256
2020-07-31,2020-07-31 11:53:16.961130752,-0.2756798352872053
2020-08-01,2020-08-01 11:59:30.000000000,-0.2809590277777777
2020-08-02,2020-08-02 11:59:30.000000000,-0.2649687499999999
2020-08-03,2020-08-03 11:59:30.000000000,-0.24899999999999992
2020-08-04,2020-08-04 11:59:30.000000000,-0.20652847222222215
2020-08-05,2020-08-05 11:59:30.000000000,-0.21600069444444436
2020-08-06,2020-08-06 11:59:30.000000000,-0.18106944444444437
2020-08-07,2020-08-07 11:59:30.000000000,-0.18269444444444435
2020-08-08,2020-08-08 11:59:30.000000000,-0.1604555555555555
2020-08-09,2020-08-09 11:59:30.000000000,-0.18719305555555546
2020-08-10,2020-08-10 11:59:30.000000000,-0.16945208333333325
2020-08-11,2020-08-11 11:59:30.000000000,-0.12927708333333324
2020-08-12,2020-08-12 11:59:30.000000000,-0.07751458333333325
2020-08-13,2020-08-13 11:59:30.000000000,-0.07353819444444437
2020-08-14,2020-08-14 11:59:30.000000000,-0.03514513888888882
2020-08-15,2020-08-15 11:54:14.207188224,-0.05660960501957881
2020-08-16,2020-08-16 11:59:46.736841984,-0.10014949440195252
2020-08-17,2020-08-17 11:59:30.000000000,-0.11725208333333327
2020-08-18,2020-08-18 11:59:30.000000000,-0.1393888888888888
2020-08-19,2020-08-19 11:59:30.000000000,-0.15240138888888882
2020-08-20,2020-08-20 11:59:30.000000000,-0.12661458333333325
2020-08-21,2020-08-21 11:55:34.105263104,-0.1280617751037069
